                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.6359,                 1.8315,                 2.0209,                 0.6842,                0.77473,                0.83264,                0.47633,                 1.4606,                  1.663,                 1.8394,             0.00095694,             0.00095694,             0.00095694
                     89,                 1.7946,                   2.04,                 2.1032,                0.74555,                0.76171,                0.85337,                0.51507,                 1.4133,                 1.5969,                 1.8361,             0.00095644,             0.00095644,             0.00095644
                     90,                 1.6947,                 1.9041,                 2.0922,                0.84795,                0.75726,                 0.8927,                0.58446,                 1.3527,                 1.5406,                 1.8683,             0.00095595,             0.00095595,             0.00095595
                     91,                 1.5168,                 1.7152,                 1.9203,                0.78346,                0.80734,                0.89424,                0.60443,                 1.2843,                 1.5004,                 1.8457,             0.00095545,             0.00095545,             0.00095545
                     92,                 1.6575,                  1.808,                 2.0761,                  0.812,                0.81595,                0.90723,                0.55028,                 1.3583,                 1.5921,                 1.9287,             0.00095496,             0.00095496,             0.00095496
                     93,                  1.588,                 1.7768,                  1.957,                 0.7746,                0.67612,                 0.8501,                0.50914,                 1.3587,                 1.7736,                 1.9316,             0.00095446,             0.00095446,             0.00095446
                     94,                 1.5805,                 1.7192,                 1.9523,                 0.7096,                0.75029,                 0.8293,                0.53182,                 1.3528,                 1.6371,                 1.8319,             0.00095397,             0.00095397,             0.00095397
                     95,                 1.5411,                 1.6405,                 1.9451,                0.75671,                0.78087,                0.84941,                0.56547,                  1.376,                 1.5262,                  1.809,             0.00095347,             0.00095347,             0.00095347
                     96,                 1.4594,                 1.6863,                 1.8798,                 0.7344,                0.88766,                 0.8747,                 0.5894,                 1.3275,                 1.4574,                  1.761,             0.00095298,             0.00095298,             0.00095298
                     97,                 1.6096,                 1.8258,                 2.0627,                0.70399,                0.87778,                0.87755,                 0.5973,                 1.2629,                 1.5026,                  1.738,             0.00095248,             0.00095248,             0.00095248
                     98,                 1.6296,                 1.7744,                 1.9906,                0.75704,                0.79091,                0.80894,                0.53644,                 1.2677,                 2.0208,                 1.8049,             0.00095199,             0.00095199,             0.00095199
                     99,                 1.6452,                 1.8407,                 2.0128,                0.66801,                  0.782,                0.76874,                0.48591,                 1.3222,                  2.116,                 1.8692,             0.00095149,             0.00095149,             0.00095149
                    100,                 1.6495,                 1.7268,                 2.0846,                 0.5688,                0.86996,                0.71392,                0.43837,                  1.361,                 1.8121,                 1.7726,               0.000951,               0.000951,               0.000951
                    101,                 1.5013,                 1.8392,                 1.8764,                0.54643,                0.87778,                 0.7036,                0.39612,                 1.4603,                  1.955,                 1.8304,              0.0009505,              0.0009505,              0.0009505
                    102,                 1.5909,                 1.7429,                 1.9575,                0.68682,                0.77618,                0.78639,                0.45227,                 1.3954,                 1.6997,                 1.7908,                0.00095,                0.00095,                0.00095
                    103,                   1.49,                 1.7688,                 1.9379,                0.75627,                0.75042,                0.83725,                0.47672,                  1.458,                  1.551,                 1.8349,             0.00094951,             0.00094951,             0.00094951
                    104,                  1.563,                  1.598,                  1.922,                0.80383,                0.77481,                0.88698,                0.54634,                 1.3504,                 1.5056,                 1.8625,             0.00094902,             0.00094902,             0.00094902
                    105,                 1.4862,                 1.6824,                 1.9247,                0.81972,                0.77101,                0.86482,                0.53441,                 1.3535,                 1.5934,                 1.9428,             0.00094852,             0.00094852,             0.00094852
                    106,                  1.474,                 1.6123,                 1.9348,                0.75164,                0.76453,                0.81861,                0.55462,                 1.2562,                 1.6761,                 1.8542,             0.00094803,             0.00094803,             0.00094803
                    107,                 1.4545,                 1.5746,                 1.8354,                0.79115,                0.91944,                0.86209,                0.56259,                 1.2739,                 1.4632,                 1.8467,             0.00094753,             0.00094753,             0.00094753
                    108,                 1.5719,                 1.6136,                 1.9714,                0.75718,                0.93475,                0.91542,                0.60725,                  1.275,                   1.31,                 1.7412,             0.00094703,             0.00094703,             0.00094703
                    109,                 1.5095,                  1.528,                  1.903,                0.76221,                0.89317,                0.92618,                0.59008,                 1.3338,                 1.3458,                 1.7445,             0.00094654,             0.00094654,             0.00094654
